Depart Ellicott,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:36,9:42,9:48,9:54,10:00,10:06,10:12,10:18,10:24,10:30,10:36,10:42,10:48,10:54,11:00,11:12,11:24,11:36,11:42,11:48,11:54,12:00,12:06,12:12,12:18,12:24,12:30,12:36,12:42,12:48,12:54,1:00,1:06,1:12,1:18,1:24,1:30,1:36,1:42,1:48,1:54,2:00,2:06,2:12,2:18,2:24,2:30,2:36,2:42,2:48,2:54,3:00,3:06,3:18,3:30,3:42,3:54,4:00,4:06,4:12,4:18,4:24,4:30,4:36,4:42,4:48,4:54,5:00,5:06,5:12,5:18,5:24,5:36,5:48,6:00,6:12,6:24,6:36,6:48,7:00,7:12,7:24
Depart Lee Loop,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:36,9:42,9:48,9:54,10:00,10:06,10:12,10:18,10:24,10:30,10:36,10:42,10:48,10:54,11:06,11:18,11:30,11:42,11:48,11:54,12:00,12:06,12:12,12:18,12:24,12:30,12:36,12:42,12:48,12:54,1:00,1:06,1:12,1:18,1:24,1:30,1:36,1:42,1:48,1:54,2:00,2:06,2:12,2:18,2:24,2:30,2:36,2:42,2:48,2:54,3:00,3:12,3:24,3:36,3:48,4:00,4:06,4:12,4:18,4:24,4:30,4:36,4:42,4:48,4:54,5:00,5:06,5:12,5:18,5:24,5:30,5:42,5:54,6:06,6:18,6:30,6:42,6:54,7:06,7:18,7:30,
