Depart Ellicott,,,,7:00,7:30,8:00,8:30,9:00,9:30,,10:30,11:00,11:30,12:00,12:30,1:00,1:30
Depart Goodyear,,,,7:20,7:50,8:20,8:50,9:20,9:50,,10:50,11:20,11:50,12:20,12:50,1:20,1:50
Depart Galleria Mall,,,,7:45,8:15,8:45,,9:45,10:15,10:45,11:15,11:45,12:15,12:45,1:15,1:45,2:15
Depart Goodyear,,,,8:10,8:40,9:10,,10:10,10:40,11:10,11:40,12:10,12:40,1:10
Depart Governors,6:52,7:22,7:52,8:25,8:55,9:25,,10:25,10:55,11:25,11:55,12:25,12:55,1:25
Depart Lee Loop,6:55,7:25,7:55,8:28,8:58,9:28,,10:28,10:58,11:28,11:58,12:28,12:58,1:28
