Depart Ellicott,9:00,9:07,9:15,9:22,9:30,9:37,9:45,9:52,10:00,10:07,10:15,10:22,10:30,10:37,10:45,11:00,11:15,11:22,11:37,11:52,12:00,12:07,12:15,12:22,12:30,12:37,12:45,12:52,1:00,1:07,1:15
Depart Lee Loop,9:05,9:12,9:20,9:27,9:35,9:42,9:50,9:57,10:05,10:12,10:20,10:27,10:35,10:42,10:50,11:05,11:20,11:27,11:42,11:57,12:05,12:12,12:20,12:27,12:35,12:42,12:50,12:57,1:05,1:12,1:20
Depart Governors,9:09,9:16,9:24,9:31,9:39,9:46,9:54,10:01,10:09,10:16,10:24,10:31,10:39,10:46,10:54,11:09,11:24,11:31,11:46,12:01,12:09,12:16,12:24,12:31,12:39,12:46,12:54,1:01,1:09,1:16,1:24
