Creekside Village,1:40,2:00,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40,6:00,6:20
South Lake,1:44,2:04,2:24,2:44,3:04,3:24,3:44,4:04,4:24,4:44,5:04,5:24,5:44,6:04,6:24
Flint Village,1:48,2:08,2:28,2:48,3:08,3:28,3:48,4:08,4:28,4:48,5:08,5:28,5:48,6:08,6:28
Hadley Village,1:51,2:11,2:31,2:51,3:11,3:31,3:51,4:11,4:31,4:51,5:11,5:31,5:51,6:11,6:31
Walmart,2:00,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40,6:00,6:20,6:40
Whole Foods,2:10,2:30,2:50,3:10,3:30,3:50,4:10,4:30,4:50,5:10,5:30,5:50,6:10,6:30,6:50
Boulevard Mall,2:15,2:35,2:55,3:15,3:35,3:55,4:15,4:35,4:55,5:15,5:35,5:55,6:15,6:35,6:55
Wegmans,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40,6:00,6:20,6:40,7:00
Target,2:25,2:45,3:05,3:25,3:45,4:05,4:25,4:45,5:05,5:25,5:45,6:05,6:25,6:45,7:05
