Depart Clement,2:00,2:30,3:00,3:30,4:00,4:30,5:30,6:00,6:30,7:00,7:30,8:00
Depart Goodyear,2:05,2:35,3:05,3:35,4:05,4:35,5:35,6:05,6:35,7:05,7:35,8:05
Depart Main Circle,2:07,2:37,3:07,3:37,4:07,4:37,5:37,6:07,6:37,7:07,7:37,8:07
Depart Walmart,2:20,2:50,3:20,3:50,4:20,4:50,5:50,6:20,6:50,7:20,7:50,8:20
Depart Blvd Mall,2:30,3:00,3:30,4:00,4:30,5:00,6:00,6:30,7:00,7:30,8:00,8:30
Depart Wegmans,2:35,3:05,3:35,4:05,4:35,5:05,6:05,6:35,7:05,7:35,8:05,8:35
Depart Tops,2:40,3:10,3:40,4:10,4:40,5:10,6:10,6:40,7:10,7:40,8:10,8:40
Depart Target,2:45,3:15,3:45,4:15,4:45,5:15,6:15,6:45,7:15,7:45,8:15,8:45
